feature,scores,log2FoldChange,pvalue,padj,symbol
ENSG00000108344,-7.1735387,-0.66955906,7.308363181614657e-13,2.0322278335151325e-10,PSMD3
ENSG00000225663,-7.1699276,-0.6071914,7.50373503852703e-13,2.0770270059382192e-10,MCRIP1
ENSG00000109861,-7.16732,-0.5066979,7.648016166460046e-13,2.1073413272483706e-10,CTSC
ENSG00000164109,-7.162706,-0.7549452,7.909982801288338e-13,2.1696617530827954e-10,MAD2L1
ENSG00000101447,-7.1482625,-1.2176157,8.788300110204832e-13,2.399720560272553e-10,SACK1D
ENSG00000125970,-7.1435485,-0.5180385,9.095177127104618e-13,2.472379113309214e-10,RALY
ENSG00000105829,7.1418433,0.89461225,9.208745280522535e-13,2.492075581071409e-10,BET1
ENSG00000105364,-7.13402,-0.6726993,9.747919403111986e-13,2.6262627835433133e-10,MRPL4
ENSG00000101474,-7.1041303,-0.516821,1.2108266381079487e-12,3.247747786525033e-10,APMAP
ENSG00000073111,-7.1029267,-0.79630446,1.2214229232651752e-12,3.2617372768903815e-10,MCM2
ENSG00000117528,-7.089185,-0.9886041,1.3490376502714632e-12,3.5867242685002554e-10,ABCD3
ENSG00000160446,-7.0838695,-0.6992509,1.4018405763869482e-12,3.710837288209625e-10,ZDHHC12
ENSG00000086619,7.082465,2.166425,1.41612377359484e-12,3.732348131806331e-10,ERO1B
ENSG00000121579,-7.0782523,-0.5573957,1.4598355284735812e-12,3.8308991298935073e-10,NAA50
ENSG00000144354,-7.0742407,-0.78314793,1.50269522522793e-12,3.926374218021202e-10,CDCA7
ENSG00000052802,-7.0705295,-0.56155115,1.543438212301258e-12,4.015522789334333e-10,MSMO1
ENSG00000104341,-7.0618033,-0.510065,1.6435575196990479e-12,4.257727063531478e-10,LAPTM4B
ENSG00000156030,7.0609,0.9570043,1.6542713298630063e-12,4.267245691275131e-10,MIDEAS
ENSG00000174748,7.0401382,0.18132976,1.920494371091555e-12,4.932985096660974e-10,RPL15
ENSG00000025796,7.031713,0.61423755,2.040134546544832e-12,5.19625697802526e-10,SEC63
